anio,pais_id,pais_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2019,200,ARG,22_6,Omisión adulteración y supresión de marcaje,122,0
2019,200,ARG,22_7,Otros delitos contra la seguridad pública,28326,0
2019,200,ARG,23,Delitos contra el orden público,5167,0
2019,200,ARG,24,Delitos contra la seguridad de la nación,117,0
2019,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,1331,0
2019,200,ARG,26,Delitos contra la administración pública,41329,0
2019,200,ARG,27,Delitos contra la fe pública,10845,0
2019,200,ARG,28_1,Siembra y producción de estupefacientes,848,0
2019,200,ARG,28_10,Otros delitos previstos en la ley 23.737,22768,0
2019,200,ARG,28_2,Comercialización y entrega de estupefacientes,6634,0
2019,200,ARG,28_3,Tenencia o entrega atenuada de estupefacientes,1299,0
2019,200,ARG,28_4,Desvío de Importación de estupefacientes,1475,0
2019,200,ARG,28_5,Organización y financiación de estupefacientes,208,0
2019,200,ARG,28_6,Tenencia simple de estupefacientes,12352,0
2019,200,ARG,28_7,Tenencia simple atenuada para uso personal de estupefacientes,52745,0
2019,200,ARG,28_8,Confabulación de estupefacientes,107,0
2019,200,ARG,28_9,Contrabando de estupefacientes,560,0
2019,200,ARG,29_1,Ley de residuos peligrosos,96,0
2019,200,ARG,29_2,Ley de fauna,1599,0
2019,200,ARG,29_3,Delitos migratorios,3741,0
2019,200,ARG,29_4,Obstrucción del código aduanero,370,0
2019,200,ARG,29_5,Contrabando Simple,25806,0
2019,200,ARG,29_6,Contrabando Agravado,228,0
2019,200,ARG,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,25,0
2019,200,ARG,29_8,Otros delitos previstos en leyes especiales,40515,0
2019,200,ARG,3,Muertes en Accidentes Viales,3671,4189
2019,200,ARG,31,Suicidios (consumados),3567,3567
2019,200,ARG,32,Delitos contra el orden económico y financiero,354,0
2019,200,ARG,4,Homicidios culposos por otros hechos,412,465
2019,200,ARG,5,Lesiones dolosas,143697,153293
2019,200,ARG,6,Lesiones culposas en Accidentes Viales,93549,108019
2019,200,ARG,7,Lesiones culposas por otros hechos,9077,9715
2019,200,ARG,8,Otros delitos contra las personas,53484,55170
2019,200,ARG,9,Delitos contra el honor,693,716
2020,200,ARG,1,Homicidios dolosos,2347,2416
2020,200,ARG,10,Violaciones,5613,5703
2020,200,ARG,11,Otros delitos contra la integridad sexual,20950,23213
2020,200,ARG,12,Delitos contra el estado civil,52,0
2020,200,ARG,13,Amenazas,190545,0
2020,200,ARG,14_1,Trata de personas simple,183,0
2020,200,ARG,14_2,Trata de personas agravado,126,0
2020,200,ARG,14_3,Otros delitos contra la libertad,12142,0
2020,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),331858,0
2020,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),25451,0
2020,200,ARG,17,Robos agravados por el resultado de lesiones y/o muertes ,4014,0
2020,200,ARG,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1320,0
2020,200,ARG,19,Hurtos,228284,0
2020,200,ARG,2,Homicidios dolosos en grado de tentativa,1477,1630
2020,200,ARG,20,Tentativas de hurto,11194,0
2020,200,ARG,21,Otros delitos contra la propiedad,120301,0
2020,200,ARG,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,75,0
2020,200,ARG,22_2,Tenencia ilegal de armas de fuego,2933,0
2020,200,ARG,22_3,Portación ilegal de armas de fuego,1637,0
2020,200,ARG,22_4,Acopio y fabricación ilegal de armas piezas y municiones,59,0
2020,200,ARG,22_5,Entrega y comercialización ilegal de armas de fuego,6,0
2020,200,ARG,22_6,Omisión adulteración y supresión de marcaje,112,0
2020,200,ARG,22_7,Otros delitos contra la seguridad pública,92823,0
2020,200,ARG,23,Delitos contra el orden público,3982,0
2020,200,ARG,24,Delitos contra la seguridad de la nación,690,0
